d1,d2,d3,l
107,204,111,5
107,217,108,5
103,203,180,5
103,191,178,5
108,225,155,5
107,204,115,5
107,201,114,5
108,187,154,5
104,198,193,5
107,211,109,5
109,236,147,5
103,192,193,5
109,214,162,5
109,215,169,5
108,211,110,5
108,223,110,5
104,185,198,5
109,217,160,5
104,201,206,5
109,197,164,5
109,224,163,5
104,197,183,5
109,194,170,5
108,220,108,5
108,203,113,5
109,233,162,5
110,216,135,5
104,186,199,5
103,187,187,5
110,212,183,5
110,226,143,5
111,230,140,5
110,230,136,5
110,232,131,5
110,231,181,5
110,237,183,5
103,191,182,5
110,223,130,5
104,203,192,5
109,237,154,5
110,232,165,5
109,228,122,5
104,197,194,5
103,209,183,5
104,184,187,5
105,196,204,5
104,191,188,5
104,196,188,5
104,198,191,5
104,193,187,5
104,203,196,5
104,197,177,5
104,201,207,5
104,192,203,5
104,201,204,5
103,187,192,5
105,147,196,5
104,202,197,5
104,183,188,5
104,200,199,5
104,192,199,5
104,201,198,5
103,191,186,5
104,208,195,5
105,155,188,5
103,206,182,5
103,191,182,5
104,204,195,5
104,201,197,5
104,198,191,5
104,195,197,5
104,162,188,5
105,201,210,5
104,183,183,5
104,198,202,5
103,194,184,5
103,185,187,5
104,208,186,5
103,202,179,5
104,181,185,5
104,202,191,5
104,198,203,5
103,194,179,5
104,194,195,5
104,203,199,5
104,194,201,5
103,183,192,5
104,203,201,5
105,193,203,5
103,208,186,5
104,199,200,5
104,200,195,5
104,198,201,5
104,153,186,5
104,202,194,5
103,186,194,5
104,196,189,5
104,201,200,5
103,190,188,5
104,195,194,5
103,189,182,5
103,214,173,5
104,185,182,5
103,191,182,5
104,205,192,5
103,194,186,5
104,204,195,5
104,203,196,5
105,160,206,5
105,161,207,5
104,178,200,5
104,198,193,5
104,178,202,5
104,207,196,5
108,226,139,5
104,207,213,5
104,202,211,5
108,221,107,5
109,214,106,5
110,224,165,5
108,214,154,5
103,203,175,5
103,188,184,5
